기준연도,구,일,월,화,수,목,금,토,합계
2016,종로구,0,0,0,0,0,0,0,0
2016,중구,0,-,-,0,-,0,0,0
2016,용산구,0,0,0,0,0,0,0,0
2016,성동구,0,0,0,1,0,0,0,1
2016,동대문구,0,0,0,0,1,0,0,1
2016,성북구,0,0,0,0,0,0,0,0
2016,도봉구,0,0,0,0,0,0,1,1
2016,은평구,0,1,0,0,1,0,0,2
2016,서대문구,0,0,0,1,0,0,0,1
2016,마포구,0,0,0,0,0,0,0,0
2016,강서구,0,0,0,1,0,0,0,1
2016,구로구,1,0,1,0,0,0,0,2
2016,영등포구,0,0,0,1,0,0,0,1
2016,동작구,0,0,0,0,0,2,0,2
2016,관악구,0,0,0,0,0,0,0,0
2016,강남구,0,0,0,0,0,0,0,0
2016,강동구,0,0,0,0,0,0,0,0
2016,송파구,0,0,0,0,0,0,0,0
2016,서초구,0,0,0,0,0,0,0,0
2016,양천구,0,1,0,0,1,0,0,2
2016,중랑구,0,0,0,0,0,0,0,0
2016,노원구,0,0,0,0,0,0,0,0
2016,광진구,0,0,0,0,0,0,0,0
2016,강북구,0,1,0,0,0,0,0,1
2016,금천구,0,0,0,0,0,0,0,0
2017,종로구,0,0,0,0,0,0,0,0
2017,중구,-,0,0,0,0,0,0,0
2017,용산구,0,0,0,0,0,0,0,0
2017,성동구,0,0,0,1,1,0,0,2
2017,동대문구,0,0,1,0,0,0,0,1
2017,성북구,0,0,0,1,0,0,0,1
2017,도봉구,0,0,0,0,0,0,0,0
2017,은평구,0,0,0,0,0,0,0,0
2017,서대문구,0,0,0,0,0,0,-,0
2017,마포구,0,0,0,0,0,0,0,0
2017,강서구,0,0,1,0,0,0,1,2
2017,구로구,0,0,0,0,0,0,0,0
2017,영등포구,0,0,0,0,0,0,1,1
2017,동작구,0,0,0,0,1,0,0,1
2017,관악구,0,0,0,0,0,0,0,0
2017,강남구,0,0,0,0,0,0,0,0
2017,강동구,1,1,0,0,1,0,2,5
2017,송파구,0,0,0,0,1,0,0,1
2017,서초구,0,0,0,0,0,0,0,0
2017,양천구,0,0,0,0,0,0,0,0
2017,중랑구,0,0,0,1,0,0,0,1
2017,노원구,0,0,0,0,0,0,0,0
2017,광진구,0,0,0,0,1,0,0,1
2017,강북구,0,0,0,0,0,0,0,0
2017,금천구,0,0,0,0,0,0,0,0
2018,종로구,0,0,0,0,0,0,0,0
2018,중구,-,0,1,0,0,0,0,1
2018,용산구,0,-,0,0,0,0,0,0
2018,성동구,1,0,0,0,0,0,0,1
2018,동대문구,0,0,1,0,0,0,0,1
2018,성북구,0,0,0,0,0,0,0,0
2018,도봉구,0,0,0,1,0,0,0,1
2018,은평구,0,0,0,0,0,1,0,1
2018,서대문구,0,0,0,0,0,0,0,0
2018,마포구,0,0,1,0,0,0,0,1
2018,강서구,0,0,0,1,0,0,0,1
2018,구로구,0,0,0,0,0,0,0,0
2018,영등포구,2,0,0,1,1,0,0,4
2018,동작구,0,0,0,0,0,0,0,0
2018,관악구,0,1,0,-,0,0,0,1
2018,강남구,0,0,0,0,0,0,1,1
2018,강동구,0,0,0,0,0,0,0,0
2018,송파구,0,0,0,0,0,0,0,0
2018,서초구,0,0,0,0,0,0,0,0
2018,양천구,0,0,0,0,0,0,0,0
2018,중랑구,0,0,0,0,0,0,1,1
2018,노원구,0,0,1,0,0,0,0,1
2018,광진구,0,0,0,1,0,0,1,2
2018,강북구,0,0,1,0,0,0,0,1
2018,금천구,0,0,0,0,0,0,0,0
2019,종로구,0,0,1,0,0,0,0,1
2019,중구,0,0,0,0,0,0,0,0
2019,용산구,0,0,0,-,0,0,0,0
2019,성동구,0,0,0,0,0,0,0,0
2019,동대문구,0,1,0,0,0,0,0,1
2019,성북구,0,0,0,0,0,0,0,0
2019,도봉구,0,0,0,0,0,0,0,0
2019,은평구,0,1,0,0,0,0,0,1
2019,서대문구,0,0,1,0,0,0,0,1
2019,마포구,0,0,0,0,0,0,0,0
2019,강서구,0,0,0,0,0,0,0,0
2019,구로구,0,0,0,0,0,0,0,0
2019,영등포구,0,0,0,0,0,0,0,0
2019,동작구,0,0,0,0,0,0,0,0
2019,관악구,0,0,1,0,0,0,0,1
2019,강남구,0,0,0,0,0,0,0,0
2019,강동구,0,0,0,0,0,0,0,0
2019,송파구,0,0,0,0,0,0,0,0
2019,서초구,0,0,0,0,0,0,0,0
2019,양천구,0,1,0,0,0,0,0,1
2019,중랑구,0,1,0,0,0,1,0,2
2019,노원구,0,0,0,0,0,0,0,0
2019,광진구,0,0,0,0,0,0,0,0
2019,강북구,0,0,1,1,0,0,0,2
2019,금천구,0,0,0,0,1,0,0,1
2020,종로구,0,0,0,0,1,0,0,1
2020,중구,0,0,0,0,0,0,0,0
2020,용산구,0,0,0,0,0,-,0,0
2020,성동구,0,0,0,0,0,1,0,1
2020,동대문구,0,0,0,0,0,0,0,0
2020,성북구,0,0,0,0,0,0,0,0
2020,도봉구,0,0,0,0,0,1,0,1
2020,은평구,0,1,0,0,0,0,0,1
2020,서대문구,0,0,1,0,0,0,0,1
2020,마포구,0,0,0,0,0,0,0,0
2020,강서구,0,0,0,0,0,0,0,0
2020,구로구,0,0,0,0,0,0,0,0
2020,영등포구,0,0,0,0,1,0,0,1
2020,동작구,0,0,0,0,0,0,0,0
2020,관악구,0,0,0,1,0,0,0,1
2020,강남구,0,0,0,0,0,0,0,0
2020,강동구,1,0,0,1,1,0,0,3
2020,송파구,0,0,0,0,0,0,0,0
2020,서초구,0,1,0,0,0,0,0,1
2020,양천구,0,1,0,0,0,0,0,1
2020,중랑구,0,0,1,0,0,0,0,1
2020,노원구,0,0,0,0,0,0,0,0
2020,광진구,0,0,0,0,0,0,0,0
2020,강북구,0,0,0,0,0,0,0,0
2020,금천구,0,0,0,0,0,0,1,1
